batting_team,bowling_team,venue,batsman,bowler,over,ball,current_score,wickets,runs_last_5_overs,wickets_last_5_overs,final_score
Kolkata Knight Riders,Delhi Capitals,Sawai Mansingh Stadium,Manish Pandey,Ishant Sharma,11,5,111,5,60,2,188
Delhi Capitals,Kolkata Knight Riders,Barsapara Stadium Guwahati,Abishek Porel,Vaibhav Arora,12,1,101,4,54,0,193
Delhi Capitals,Gujarat Titans,PCA Stadium Mohali,Harry Brook,R Sai Kishore,12,3,68,2,31,1,96
Delhi Capitals,Rajasthan Royals,Eden Gardens,David Warner,Navdeep Saini,6,6,57,1,22,1,195
Rajasthan Royals,Mumbai Indians,Wankhede Stadium,Rovman Powell,Shreyas Gopal,10,1,77,2,55,2,129
Rajasthan Royals,Punjab Kings,Wankhede Stadium,Shubham Dubey,Kagiso Rabada,8,4,28,4,59,1,60
Punjab Kings,Mumbai Indians,Wankhede Stadium,Prabhsimran Singh,Dilshan Madushanka,19,5,186,7,38,0,187
Sunrisers Hyderabad,Chennai Super Kings,Rajiv Gandhi Intl. Cricket Stadium,Rahul Tripathi,Mukesh Choudhary,8,6,72,1,31,3,163
Delhi Capitals,Kolkata Knight Riders,Sawai Mansingh Stadium,Jake Fraser-McGurk,Harshit Rana,13,5,135,5,49,1,195
Punjab Kings,Lucknow Super Giants,HPCA Stadium Dharamsala,Shashank Singh,Yash Thakur,17,4,160,7,33,0,193
Kolkata Knight Riders,Gujarat Titans,Eden Gardens,Rinku Singh,Spencer Johnson,20,6,157,4,37,1,161
Mumbai Indians,Lucknow Super Giants,Narendra Modi Stadium,Ishan Kishan,Mohsin Khan,7,3,63,4,29,1,180
Royal Challengers Bangalore,Lucknow Super Giants,Wankhede Stadium,Cameron Green,Mohsin Khan,2,3,9,1,38,2,78
Sunrisers Hyderabad,Mumbai Indians,HPCA Stadium Dharamsala,Aiden Markram,Gerald Coetzee,13,4,98,4,53,1,153
Punjab Kings,Lucknow Super Giants,MA Chidambaram Stadium,Sam Curran,Amit Mishra,12,3,86,2,35,1,154
Sunrisers Hyderabad,Gujarat Titans,Narendra Modi Stadium,Aiden Markram,R Sai Kishore,8,2,49,5,33,1,114
Rajasthan Royals,Mumbai Indians,Rajiv Gandhi Intl. Cricket Stadium,Sanju Samson,Gerald Coetzee,3,2,31,2,33,2,212
Lucknow Super Giants,Delhi Capitals,PCA Stadium Mohali,Krunal Pandya,Anrich Nortje,5,6,63,5,40,1,250
Delhi Capitals,Punjab Kings,Arun Jaitley Stadium,Harry Brook,Harshal Patel,13,6,101,3,43,0,186
Gujarat Titans,Punjab Kings,Rajiv Gandhi Intl. Cricket Stadium,Abhinav Manohar,Vidwath Kaverappa,15,2,104,5,32,2,123
Mumbai Indians,Chennai Super Kings,Rajiv Gandhi Intl. Cricket Stadium,Rohit Sharma,Maheesh Theekshana,17,6,159,6,44,1,190
Delhi Capitals,Kolkata Knight Riders,Rajiv Gandhi Intl. Cricket Stadium,Jake Fraser-McGurk,Varun Chakaravarthy,18,2,134,5,31,2,144
Rajasthan Royals,Chennai Super Kings,Wankhede Stadium,Yashasvi Jaiswal,Mukesh Choudhary,4,5,15,1,35,1,61
Kolkata Knight Riders,Chennai Super Kings,M. Chinnaswamy Stadium,Nitish Rana,Mukesh Choudhary,15,3,123,3,33,0,164
Chennai Super Kings,Sunrisers Hyderabad,Arun Jaitley Stadium,Ajinkya Rahane,Washington Sundar,2,3,9,1,53,1,86
Punjab Kings,Gujarat Titans,Arun Jaitley Stadium,Sam Curran,Umesh Yadav,16,3,144,6,54,0,206
Gujarat Titans,Royal Challengers Bangalore,Ekana Cricket Stadium,Shahrukh Khan,Alzarri Joseph,1,2,0,1,21,0,8
Rajasthan Royals,Gujarat Titans,Barsapara Stadium Guwahati,Jos Buttler,Noor Ahmad,16,1,157,3,62,0,215
Chennai Super Kings,Gujarat Titans,Narendra Modi Stadium,Ruturaj Gaikwad,Umesh Yadav,11,1,66,7,33,0,125
Punjab Kings,Rajasthan Royals,Sawai Mansingh Stadium,Ashutosh Sharma,Sandeep Sharma,12,5,111,4,57,0,196
Kolkata Knight Riders,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Angkrish Raghuvanshi,Mayank Markande,15,6,126,5,32,0,141
Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Devon Conway,Marco Jansen,13,3,123,5,33,0,208
Lucknow Super Giants,Kolkata Knight Riders,MA Chidambaram Stadium,Quinton de Kock,Vaibhav Arora,20,6,182,3,47,0,183
Gujarat Titans,Royal Challengers Bangalore,Ekana Cricket Stadium,Wriddhiman Saha,Karn Sharma,19,5,165,6,23,0,178
Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Shivam Dube,Piyush Chawla,1,4,0,1,40,0,1
Chennai Super Kings,Kolkata Knight Riders,Barsapara Stadium Guwahati,Shivam Dube,Mitchell Starc,17,6,162,6,66,1,206
Lucknow Super Giants,Chennai Super Kings,Narendra Modi Stadium,Krunal Pandya,Matheesha Pathirana,12,1,99,0,40,0,151
Chennai Super Kings,Mumbai Indians,M. Chinnaswamy Stadium,Devon Conway,Piyush Chawla,2,1,28,1,75,0,266
Gujarat Titans,Sunrisers Hyderabad,PCA Stadium Mohali,Kane Williamson,Mayank Markande,13,4,131,8,38,1,199
Mumbai Indians,Punjab Kings,Sawai Mansingh Stadium,Rohit Sharma,Kagiso Rabada,15,4,133,3,35,1,197
Kolkata Knight Riders,Royal Challengers Bangalore,Arun Jaitley Stadium,Shreyas Iyer,Karn Sharma,6,1,44,3,28,0,151
Rajasthan Royals,Sunrisers Hyderabad,PCA Stadium Mohali,Yashasvi Jaiswal,Jaydev Unadkat,16,3,137,9,45,1,170
Royal Challengers Bangalore,Rajasthan Royals,HPCA Stadium Dharamsala,Anuj Rawat,Nandre Burger,20,5,207,6,57,3,226
Gujarat Titans,Sunrisers Hyderabad,MA Chidambaram Stadium,David Miller,Umran Malik,6,6,44,2,50,1,161
Royal Challengers Bangalore,Sunrisers Hyderabad,Arun Jaitley Stadium,Cameron Green,Umran Malik,16,1,165,10,30,0,228
Lucknow Super Giants,Sunrisers Hyderabad,M. Chinnaswamy Stadium,KL Rahul,Mayank Markande,14,6,91,5,36,2,115
Lucknow Super Giants,Rajasthan Royals,Rajiv Gandhi Intl. Cricket Stadium,KL Rahul,Trent Boult,17,1,100,5,35,2,112
Chennai Super Kings,Gujarat Titans,M. Chinnaswamy Stadium,Moeen Ali,Noor Ahmad,19,4,167,5,34,1,196
Sunrisers Hyderabad,Chennai Super Kings,Barsapara Stadium Guwahati,Aiden Markram,Matheesha Pathirana,7,5,53,4,42,2,109
Gujarat Titans,Delhi Capitals,Barsapara Stadium Guwahati,Kane Williamson,Ishant Sharma,7,1,42,1,60,0,121
Chennai Super Kings,Rajasthan Royals,Arun Jaitley Stadium,Ruturaj Gaikwad,Yuzvendra Chahal,12,3,85,3,37,1,156
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Sanju Samson,Mohammed Siraj,13,6,107,3,42,1,156
Royal Challengers Bangalore,Rajasthan Royals,Barsapara Stadium Guwahati,Dinesh Karthik,Avesh Khan,19,3,148,4,62,3,188
Rajasthan Royals,Sunrisers Hyderabad,MA Chidambaram Stadium,Sanju Samson,Marco Jansen,17,5,153,8,22,2,196
Lucknow Super Giants,Royal Challengers Bangalore,PCA Stadium Mohali,Krunal Pandya,Akash Deep,20,4,148,6,36,0,149
Chennai Super Kings,Royal Challengers Bangalore,Narendra Modi Stadium,Sameer Rizvi,Karn Sharma,18,4,119,9,20,1,126
Mumbai Indians,Kolkata Knight Riders,Barsapara Stadium Guwahati,Hardik Pandya,Vaibhav Arora,17,5,174,6,35,0,230
Rajasthan Royals,Punjab Kings,Rajiv Gandhi Intl. Cricket Stadium,Riyan Parag,Arshdeep Singh,8,5,76,3,38,1,182
Chennai Super Kings,Lucknow Super Giants,M. Chinnaswamy Stadium,Sameer Rizvi,Matt Henry,19,2,164,5,30,1,178
Sunrisers Hyderabad,Delhi Capitals,Barsapara Stadium Guwahati,Heinrich Klaasen,Khaleel Ahmed,9,2,66,2,37,2,148
Punjab Kings,Royal Challengers Bangalore,Wankhede Stadium,Sam Curran,Mohammed Siraj,13,1,135,8,40,0,206
Chennai Super Kings,Gujarat Titans,Rajiv Gandhi Intl. Cricket Stadium,Ajinkya Rahane,Mohammed Shami,6,1,22,1,37,1,96
Lucknow Super Giants,Kolkata Knight Riders,Wankhede Stadium,Nicholas Pooran,Sunil Narine,20,5,182,9,39,0,190
Kolkata Knight Riders,Lucknow Super Giants,Barsapara Stadium Guwahati,Phil Salt,Naveen-ul-Haq,9,4,80,2,46,1,204
Chennai Super Kings,Delhi Capitals,Barsapara Stadium Guwahati,Sameer Rizvi,Kuldeep Yadav,13,2,138,5,64,1,198
Punjab Kings,Gujarat Titans,Eden Gardens,Rilee Rossouw,Spencer Johnson,3,6,21,0,43,0,125
Punjab Kings,Chennai Super Kings,Barsapara Stadium Guwahati,Sam Curran,Deepak Chahar,10,1,73,7,66,1,152
Chennai Super Kings,Kolkata Knight Riders,HPCA Stadium Dharamsala,Daryl Mitchell,Vaibhav Arora,14,3,151,8,36,0,220
Punjab Kings,Rajasthan Royals,HPCA Stadium Dharamsala,Shikhar Dhawan,R Ashwin,16,6,117,7,27,2,118
Punjab Kings,Kolkata Knight Riders,Sawai Mansingh Stadium,Jonny Bairstow,Mitchell Starc,14,2,96,6,38,0,142
Mumbai Indians,Royal Challengers Bangalore,Barsapara Stadium Guwahati,Romario Shepherd,Karn Sharma,2,2,8,1,29,1,83
Mumbai Indians,Sunrisers Hyderabad,Ekana Cricket Stadium,Dewald Brevis,Marco Jansen,20,5,171,5,52,0,172
Royal Challengers Bangalore,Gujarat Titans,Arun Jaitley Stadium,Will Jacks,Rashid Khan,5,2,40,0,30,0,168
Chennai Super Kings,Punjab Kings,Wankhede Stadium,Sameer Rizvi,Kagiso Rabada,1,4,0,0,26,1,18
Mumbai Indians,Sunrisers Hyderabad,HPCA Stadium Dharamsala,Nehal Wadhera,Jaydev Unadkat,10,1,87,1,47,3,203
Sunrisers Hyderabad,Mumbai Indians,Eden Gardens,Heinrich Klaasen,Piyush Chawla,18,3,150,3,40,1,169
Punjab Kings,Rajasthan Royals,M. Chinnaswamy Stadium,Jitesh Sharma,Kuldeep Sen,3,6,17,3,39,0,108
Rajasthan Royals,Gujarat Titans,PCA Stadium Mohali,Dhruv Jurel,Mohit Sharma,19,1,133,6,51,3,136
Chennai Super Kings,Delhi Capitals,Sawai Mansingh Stadium,Moeen Ali,Axar Patel,2,2,1,0,44,1,25
Delhi Capitals,Rajasthan Royals,M. Chinnaswamy Stadium,David Warner,Nandre Burger,13,1,85,1,40,2,130
Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,Shubham Dubey,Marco Jansen,3,3,21,0,41,1,156
Mumbai Indians,Delhi Capitals,Rajiv Gandhi Intl. Cricket Stadium,Nehal Wadhera,Anrich Nortje,7,2,53,1,59,0,171
Punjab Kings,Gujarat Titans,HPCA Stadium Dharamsala,Shikhar Dhawan,R Sai Kishore,14,3,118,3,35,0,189
Delhi Capitals,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Yash Dhull,Jaydev Unadkat,8,6,64,1,37,1,164
Rajasthan Royals,Lucknow Super Giants,Narendra Modi Stadium,Riyan Parag,Ravi Bishnoi,18,2,147,9,35,0,164
Mumbai Indians,Royal Challengers Bangalore,Arun Jaitley Stadium,Ishan Kishan,Lockie Ferguson,1,2,0,0,23,5,8
Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,Shikhar Dhawan,Bhuvneshwar Kumar,10,6,73,4,50,0,170
Rajasthan Royals,Mumbai Indians,Narendra Modi Stadium,Sanju Samson,Nuwan Thushara,20,3,193,7,20,0,212
Chennai Super Kings,Delhi Capitals,Eden Gardens,Shivam Dube,Ishant Sharma,3,4,29,2,47,1,207
Chennai Super Kings,Delhi Capitals,HPCA Stadium Dharamsala,Daryl Mitchell,Ishant Sharma,19,3,156,6,46,0,166
Sunrisers Hyderabad,Lucknow Super Giants,Narendra Modi Stadium,Glenn Phillips,Yash Thakur,3,6,21,1,40,1,126
Royal Challengers Bangalore,Kolkata Knight Riders,Wankhede Stadium,Mahipal Lomror,Harshit Rana,10,5,98,2,50,1,195
Lucknow Super Giants,Gujarat Titans,MA Chidambaram Stadium,Devdutt Padikkal,Mohammed Shami,11,4,73,3,67,1,123
Delhi Capitals,Chennai Super Kings,Sawai Mansingh Stadium,Mitchell Marsh,Mukesh Choudhary,7,1,29,1,36,2,122
Rajasthan Royals,Lucknow Super Giants,Wankhede Stadium,Yashasvi Jaiswal,Naveen-ul-Haq,20,4,157,5,38,1,158
Mumbai Indians,Sunrisers Hyderabad,MA Chidambaram Stadium,Hardik Pandya,T Natarajan,19,2,137,10,56,0,138
Sunrisers Hyderabad,Mumbai Indians,Barsapara Stadium Guwahati,Glenn Phillips,Gerald Coetzee,8,2,68,3,53,1,192
Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Devon Conway,Pat Cummins,5,2,40,2,48,1,150
Chennai Super Kings,Lucknow Super Giants,Sawai Mansingh Stadium,Moeen Ali,Mayank Yadav,3,4,35,1,42,0,238
Mumbai Indians,Punjab Kings,PCA Stadium Mohali,Nehal Wadhera,Harshal Patel,16,6,171,1,25,1,226
Sunrisers Hyderabad,Lucknow Super Giants,M. Chinnaswamy Stadium,Nitish Kumar Reddy,Naveen-ul-Haq,14,2,129,9,55,0,202
Royal Challengers Bangalore,Rajasthan Royals,M. Chinnaswamy Stadium,Dinesh Karthik,Sandeep Sharma,18,4,196,7,46,1,208
Kolkata Knight Riders,Sunrisers Hyderabad,MA Chidambaram Stadium,Rinku Singh,Bhuvneshwar Kumar,7,2,54,4,50,0,150
Lucknow Super Giants,Kolkata Knight Riders,Sawai Mansingh Stadium,Kyle Mayers,Mitchell Starc,17,6,122,10,35,0,142
Mumbai Indians,Punjab Kings,Arun Jaitley Stadium,Dewald Brevis,Rahul Chahar,12,2,123,4,63,0,210
Chennai Super Kings,Delhi Capitals,Eden Gardens,Devon Conway,Khaleel Ahmed,19,5,156,2,33,0,157
Royal Challengers Bangalore,Sunrisers Hyderabad,PCA Stadium Mohali,Virat Kohli,Mayank Markande,17,6,126,1,32,1,166
Royal Challengers Bangalore,Delhi Capitals,MA Chidambaram Stadium,Virat Kohli,Mukesh Kumar,14,1,119,6,24,2,184
Mumbai Indians,Chennai Super Kings,M. Chinnaswamy Stadium,Tilak Varma,Deepak Chahar,9,3,71,1,46,1,178
Delhi Capitals,Mumbai Indians,Sawai Mansingh Stadium,Yash Dhull,Jasprit Bumrah,2,3,15,0,58,0,133
Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Shivam Dube,Washington Sundar,17,4,129,2,30,0,149
Gujarat Titans,Lucknow Super Giants,M. Chinnaswamy Stadium,Sai Sudharsan,Ravi Bishnoi,11,3,75,5,10,0,132
Sunrisers Hyderabad,Chennai Super Kings,HPCA Stadium Dharamsala,Travis Head,Deepak Chahar,7,1,50,4,17,1,145
Chennai Super Kings,Sunrisers Hyderabad,Barsapara Stadium Guwahati,Daryl Mitchell,Mayank Markande,7,4,48,1,31,0,135
Rajasthan Royals,Gujarat Titans,Barsapara Stadium Guwahati,Jos Buttler,Noor Ahmad,12,2,82,7,30,1,169
Gujarat Titans,Royal Challengers Bangalore,MA Chidambaram Stadium,Kane Williamson,Lockie Ferguson,5,2,36,0,45,0,126
Punjab Kings,Chennai Super Kings,Eden Gardens,Shashank Singh,Mukesh Choudhary,17,4,128,8,36,0,146
Lucknow Super Giants,Punjab Kings,Eden Gardens,Deepak Hooda,Kagiso Rabada,4,1,5,2,25,1,51
Kolkata Knight Riders,Punjab Kings,Sawai Mansingh Stadium,Phil Salt,Kagiso Rabada,13,4,108,4,45,1,160
Gujarat Titans,Kolkata Knight Riders,MA Chidambaram Stadium,David Miller,Mujeeb Ur Rahman,11,5,85,3,36,0,146
Sunrisers Hyderabad,Rajasthan Royals,MA Chidambaram Stadium,Rahul Tripathi,Sandeep Sharma,15,4,107,6,35,0,161
Gujarat Titans,Chennai Super Kings,Sawai Mansingh Stadium,Shubman Gill,Mukesh Choudhary,6,3,68,2,47,0,243
Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,Wriddhiman Saha,R Ashwin,6,5,73,3,40,1,259
Kolkata Knight Riders,Royal Challengers Bangalore,PCA Stadium Mohali,Manish Pandey,Karn Sharma,20,3,148,10,46,0,149
Chennai Super Kings,Sunrisers Hyderabad,Ekana Cricket Stadium,Ruturaj Gaikwad,Pat Cummins,6,5,56,1,49,4,196
Gujarat Titans,Sunrisers Hyderabad,Barsapara Stadium Guwahati,Vijay Shankar,Jaydev Unadkat,15,3,106,7,41,1,155
Delhi Capitals,Lucknow Super Giants,Eden Gardens,Harry Brook,Naveen-ul-Haq,14,2,95,4,35,0,132
Rajasthan Royals,Gujarat Titans,PCA Stadium Mohali,Riyan Parag,R Sai Kishore,6,4,24,3,41,4,110
Mumbai Indians,Punjab Kings,Narendra Modi Stadium,Hardik Pandya,Kagiso Rabada,3,6,31,2,52,0,213
Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Rohit Sharma,Tushar Deshpande,20,5,184,5,35,2,191
Sunrisers Hyderabad,Gujarat Titans,MA Chidambaram Stadium,Heinrich Klaasen,Darshan Nalkande,19,4,150,8,51,0,175
Kolkata Knight Riders,Chennai Super Kings,Arun Jaitley Stadium,Venkatesh Iyer,Mukesh Choudhary,13,1,113,4,21,2,178
Chennai Super Kings,Royal Challengers Bangalore,Ekana Cricket Stadium,Ruturaj Gaikwad,Alzarri Joseph,2,5,11,0,35,1,92
Mumbai Indians,Sunrisers Hyderabad,MA Chidambaram Stadium,Hardik Pandya,Umran Malik,14,6,153,6,44,0,224
Mumbai Indians,Delhi Capitals,Eden Gardens,Suryakumar Yadav,Kuldeep Yadav,18,6,153,8,39,0,189
Chennai Super Kings,Delhi Capitals,Narendra Modi Stadium,Moeen Ali,Kuldeep Yadav,6,5,48,3,40,2,152
Royal Challengers Bangalore,Gujarat Titans,Ekana Cricket Stadium,Faf du Plessis,Umesh Yadav,3,6,23,2,48,2,139
Delhi Capitals,Lucknow Super Giants,HPCA Stadium Dharamsala,Yash Dhull,Naveen-ul-Haq,5,6,41,3,10,3,188
Gujarat Titans,Chennai Super Kings,Arun Jaitley Stadium,Rahul Tewatia,Mukesh Choudhary,20,6,198,7,57,0,216
Punjab Kings,Royal Challengers Bangalore,Sawai Mansingh Stadium,Ashutosh Sharma,Akash Deep,19,2,145,7,28,1,166
Mumbai Indians,Punjab Kings,Wankhede Stadium,Suryakumar Yadav,Arshdeep Singh,16,5,162,9,33,1,213
Gujarat Titans,Rajasthan Royals,Barsapara Stadium Guwahati,David Miller,Nandre Burger,19,2,174,6,49,1,183
Mumbai Indians,Kolkata Knight Riders,M. Chinnaswamy Stadium,Suryakumar Yadav,Mujeeb Ur Rahman,9,4,99,4,41,1,243
Punjab Kings,Royal Challengers Bangalore,Rajiv Gandhi Intl. Cricket Stadium,Sam Curran,Reece Topley,14,5,101,1,19,2,159
Gujarat Titans,Royal Challengers Bangalore,Narendra Modi Stadium,Abhinav Manohar,Akash Deep,1,5,12,0,61,1,232
Gujarat Titans,Sunrisers Hyderabad,Sawai Mansingh Stadium,Rahul Tewatia,Mayank Markande,13,1,128,5,57,0,240
Delhi Capitals,Royal Challengers Bangalore,Barsapara Stadium Guwahati,Abishek Porel,Mohammed Siraj,2,1,20,0,15,4,224
Lucknow Super Giants,Chennai Super Kings,Ekana Cricket Stadium,Deepak Hooda,Ravindra Jadeja,3,1,15,1,49,2,108
Kolkata Knight Riders,Sunrisers Hyderabad,PCA Stadium Mohali,Manish Pandey,Marco Jansen,1,2,0,1,45,1,1
Rajasthan Royals,Chennai Super Kings,Barsapara Stadium Guwahati,Yashasvi Jaiswal,Mukesh Choudhary,18,4,120,5,22,1,152
Mumbai Indians,Chennai Super Kings,Ekana Cricket Stadium,Tilak Varma,Ravindra Jadeja,11,1,82,6,66,4,175
Chennai Super Kings,Delhi Capitals,Ekana Cricket Stadium,Devon Conway,Anrich Nortje,10,5,66,4,42,0,148
Kolkata Knight Riders,Mumbai Indians,Ekana Cricket Stadium,Nitish Rana,Luke Wood,20,1,135,6,34,1,146
Gujarat Titans,Punjab Kings,HPCA Stadium Dharamsala,Shubman Gill,Kagiso Rabada,8,4,55,6,39,1,140
Rajasthan Royals,Royal Challengers Bangalore,Barsapara Stadium Guwahati,Rovman Powell,Vyshak Vijaykumar,11,5,98,5,13,2,214
Chennai Super Kings,Punjab Kings,MA Chidambaram Stadium,Daryl Mitchell,Kagiso Rabada,10,3,104,4,40,3,221
Punjab Kings,Gujarat Titans,Ekana Cricket Stadium,Liam Livingstone,Mohit Sharma,5,5,39,0,31,2,159
Royal Challengers Bangalore,Delhi Capitals,Barsapara Stadium Guwahati,Faf du Plessis,Anrich Nortje,15,5,107,6,50,0,153
Lucknow Super Giants,Punjab Kings,Barsapara Stadium Guwahati,Kyle Mayers,Vidwath Kaverappa,2,3,9,0,34,0,66
Gujarat Titans,Sunrisers Hyderabad,Arun Jaitley Stadium,Vijay Shankar,Mayank Markande,4,5,29,1,15,1,165
Rajasthan Royals,Delhi Capitals,MA Chidambaram Stadium,Dhruv Jurel,Khaleel Ahmed,10,2,73,2,12,1,151
Punjab Kings,Royal Challengers Bangalore,Sawai Mansingh Stadium,Shashank Singh,Vyshak Vijaykumar,7,6,54,1,60,0,168
Punjab Kings,Kolkata Knight Riders,M. Chinnaswamy Stadium,Liam Livingstone,Mujeeb Ur Rahman,15,6,117,7,50,0,134
Lucknow Super Giants,Chennai Super Kings,Wankhede Stadium,Quinton de Kock,Mustafizur Rahman,8,5,82,3,49,1,193
Lucknow Super Giants,Punjab Kings,Sawai Mansingh Stadium,Nicholas Pooran,Arshdeep Singh,7,5,72,4,52,0,219
Sunrisers Hyderabad,Delhi Capitals,HPCA Stadium Dharamsala,Glenn Phillips,Anrich Nortje,15,4,145,5,61,0,213
Mumbai Indians,Delhi Capitals,Ekana Cricket Stadium,Dewald Brevis,Anrich Nortje,9,1,76,5,30,0,173
Mumbai Indians,Lucknow Super Giants,Rajiv Gandhi Intl. Cricket Stadium,Hardik Pandya,Yash Thakur,12,3,116,2,52,3,189
Rajasthan Royals,Punjab Kings,Narendra Modi Stadium,Dhruv Jurel,Harpreet Brar,8,1,61,2,23,1,155
Punjab Kings,Mumbai Indians,Eden Gardens,Prabhsimran Singh,Jasprit Bumrah,8,6,64,1,49,0,149
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,Jos Buttler,Ishant Sharma,8,1,85,2,61,2,247
Mumbai Indians,Kolkata Knight Riders,PCA Stadium Mohali,Dewald Brevis,Chetan Sakariya,6,5,39,1,48,0,141
Lucknow Super Giants,Rajasthan Royals,MA Chidambaram Stadium,Deepak Hooda,Trent Boult,12,3,82,3,53,1,117
Gujarat Titans,Punjab Kings,Ekana Cricket Stadium,Wriddhiman Saha,Rahul Chahar,6,3,56,3,45,1,174
Sunrisers Hyderabad,Chennai Super Kings,MA Chidambaram Stadium,Abdul Samad,Matheesha Pathirana,17,6,157,4,25,2,164
Chennai Super Kings,Mumbai Indians,Eden Gardens,Sameer Rizvi,Shreyas Gopal,10,3,88,2,55,1,179
Chennai Super Kings,Delhi Capitals,HPCA Stadium Dharamsala,Sameer Rizvi,Lalit Yadav,17,1,133,5,37,0,172
Gujarat Titans,Punjab Kings,HPCA Stadium Dharamsala,Abhinav Manohar,Rahul Chahar,3,4,22,3,50,0,156
Lucknow Super Giants,Chennai Super Kings,Sawai Mansingh Stadium,Marcus Stoinis,Deepak Chahar,2,5,21,0,33,4,227
Rajasthan Royals,Gujarat Titans,Sawai Mansingh Stadium,Yashasvi Jaiswal,Umesh Yadav,11,5,86,7,53,2,129
Royal Challengers Bangalore,Chennai Super Kings,Ekana Cricket Stadium,Virat Kohli,Shardul Thakur,14,5,109,7,24,2,186
Mumbai Indians,Sunrisers Hyderabad,PCA Stadium Mohali,Hardik Pandya,Jaydev Unadkat,8,3,78,2,42,0,196
Punjab Kings,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Shikhar Dhawan,Alzarri Joseph,3,6,35,2,43,0,234
Lucknow Super Giants,Gujarat Titans,MA Chidambaram Stadium,Deepak Hooda,Spencer Johnson,12,3,90,3,29,1,144
Sunrisers Hyderabad,Rajasthan Royals,Rajiv Gandhi Intl. Cricket Stadium,Abhishek Sharma,Trent Boult,1,4,0,0,49,1,1
Kolkata Knight Riders,Mumbai Indians,MA Chidambaram Stadium,Shreyas Iyer,Gerald Coetzee,9,5,80,4,32,4,173
Punjab Kings,Chennai Super Kings,PCA Stadium Mohali,Sam Curran,Matheesha Pathirana,11,2,85,3,32,1,170
Sunrisers Hyderabad,Kolkata Knight Riders,MA Chidambaram Stadium,Heinrich Klaasen,Chetan Sakariya,1,6,29,0,65,1,290
Royal Challengers Bangalore,Kolkata Knight Riders,HPCA Stadium Dharamsala,Cameron Green,Sunil Narine,7,2,59,1,33,2,170
Royal Challengers Bangalore,Mumbai Indians,PCA Stadium Mohali,Faf du Plessis,Jasprit Bumrah,7,4,62,2,35,0,159
Sunrisers Hyderabad,Chennai Super Kings,Barsapara Stadium Guwahati,Abdul Samad,Ravindra Jadeja,6,3,48,1,58,2,167
Gujarat Titans,Sunrisers Hyderabad,PCA Stadium Mohali,Shubman Gill,Pat Cummins,15,4,102,5,32,0,149
Royal Challengers Bangalore,Gujarat Titans,Sawai Mansingh Stadium,Virat Kohli,Mohammed Shami,9,4,89,4,43,2,202
Royal Challengers Bangalore,Rajasthan Royals,Arun Jaitley Stadium,Faf du Plessis,Yuzvendra Chahal,14,4,103,4,48,0,144
Chennai Super Kings,Punjab Kings,MA Chidambaram Stadium,MS Dhoni,Vidwath Kaverappa,1,4,22,0,42,1,290
Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Phil Salt,Luke Wood,15,1,130,8,53,0,196
Delhi Capitals,Mumbai Indians,Eden Gardens,Mitchell Marsh,Dilshan Madushanka,3,1,35,4,49,0,232
Mumbai Indians,Sunrisers Hyderabad,PCA Stadium Mohali,Suryakumar Yadav,Jaydev Unadkat,15,5,118,4,47,2,188
Rajasthan Royals,Kolkata Knight Riders,Rajiv Gandhi Intl. Cricket Stadium,Dhruv Jurel,Harshit Rana,15,1,128,7,49,0,181
Kolkata Knight Riders,Punjab Kings,Ekana Cricket Stadium,Rinku Singh,Arshdeep Singh,16,1,148,5,51,1,182
Rajasthan Royals,Kolkata Knight Riders,M. Chinnaswamy Stadium,Dhruv Jurel,Mitchell Starc,15,3,155,7,39,0,211
Gujarat Titans,Chennai Super Kings,Ekana Cricket Stadium,David Miller,Mukesh Choudhary,8,3,63,3,43,0,148
Punjab Kings,Kolkata Knight Riders,HPCA Stadium Dharamsala,Ashutosh Sharma,Chetan Sakariya,15,6,148,3,50,2,190
Sunrisers Hyderabad,Punjab Kings,Barsapara Stadium Guwahati,Abhishek Sharma,Harpreet Brar,19,1,168,8,34,0,181
Punjab Kings,Kolkata Knight Riders,M. Chinnaswamy Stadium,Sam Curran,Chetan Sakariya,16,3,161,7,41,1,221
Kolkata Knight Riders,Rajasthan Royals,PCA Stadium Mohali,Shreyas Iyer,Nandre Burger,12,3,72,4,22,0,138
Lucknow Super Giants,Punjab Kings,Rajiv Gandhi Intl. Cricket Stadium,Marcus Stoinis,Nathan Ellis,15,1,110,7,44,1,146
